Waf: Entering directory `/home/harshad/projects/ndn/ns-3/build'
Waf: Leaving directory `/home/harshad/projects/ndn/ns-3/build'
'build' finished successfully (2.222s)
Reading client-0.trace
frac = 0.978137
frac = 0.782288
frac = 0.931439
frac = 0.261948
frac = 0.337157
frac = 0.646984
frac = 0.749249
frac = 0.245998
frac = 0.380172
frac = 0.906175
frac = 0.318063
frac = 0.444615
frac = 0.295195
frac = 0.075252
frac = 0.412617
frac = 0.657278
frac = 0.228303
frac = 0.144081
frac = 0.796246
frac = 0.578676
frac = 0.384561
frac = 0.037881
frac = 0.693033
frac = 0.527345
frac = 0.562836
frac = 0.259793
frac = 0.993737
frac = 0.171439
frac = 0.705323
frac = 0.052514
frac = 0.990669
frac = 0.429404
frac = 0.399476
frac = 0.711793
frac = 0.632075
frac = 0.540662
frac = 0.988449
frac = 0.108066
frac = 0.969236
frac = 0.249581
frac = 0.459849
frac = 0.527873
frac = 0.983586
frac = 0.949926
frac = 0.698130
frac = 0.238087
frac = 0.541236
frac = 0.242157
frac = 0.679366
frac = 0.933663
frac = 0.651906
frac = 0.914960
frac = 0.798825
frac = 0.349078
frac = 0.717292
frac = 0.642105
frac = 0.571535
frac = 0.254809
frac = 0.431601
frac = 0.187840
frac = 0.401959
frac = 0.218989
frac = 0.365230
frac = 0.180970
frac = 0.625640
frac = 0.347850
frac = 0.860500
frac = 0.706171
frac = 0.336867
frac = 0.015931
frac = 0.929526
frac = 0.790726
frac = 0.931933
frac = 0.679375
frac = 0.162731
frac = 0.064235
frac = 0.102025
frac = 0.061813
frac = 0.206560
frac = 0.034011
frac = 0.237869
frac = 0.541829
frac = 0.328238
frac = 0.697359
frac = 0.441609
frac = 0.851910
frac = 0.805055
frac = 0.302099
frac = 0.248033
frac = 0.395005
frac = 0.349804
frac = 0.481259
frac = 0.738856
frac = 0.886817
frac = 0.569198
frac = 0.970794
frac = 0.280920
frac = 0.142361
frac = 0.059332
frac = 0.978637
frac = 0.296301
frac = 0.817791
frac = 0.382519
frac = 0.477698
frac = 0.476492
frac = 0.137896
frac = 0.902775
frac = 0.383227
frac = 0.410300
frac = 0.233926
frac = 0.939885
frac = 0.722226
frac = 0.984937
frac = 0.064494
frac = 0.539387
frac = 0.818867
frac = 0.751608
frac = 0.159000
frac = 0.188446
frac = 0.092926
frac = 0.002779
frac = 0.055852
frac = 0.201646
frac = 0.140190
frac = 0.464860
frac = 0.738835
frac = 0.932726
frac = 0.882189
frac = 0.891994
frac = 0.558042
frac = 0.896471
frac = 0.877966
frac = 0.404678
frac = 0.861064
frac = 0.982557
frac = 0.935726
frac = 0.457560
frac = 0.394701
frac = 0.385570
frac = 0.785089
frac = 0.934082
frac = 0.494254
frac = 0.232429
frac = 0.447981
frac = 0.296095
frac = 0.951493
frac = 0.257251
frac = 0.191333
frac = 0.586954
frac = 0.061545
frac = 0.443319
frac = 0.198202
frac = 0.060048
frac = 0.773459
frac = 0.428045
frac = 0.385291
frac = 0.294484
frac = 0.687053
frac = 0.897390
frac = 0.372468
frac = 0.667490
frac = 0.740472
frac = 0.064066
frac = 0.592014
frac = 0.728676
frac = 0.135431
frac = 0.891890
frac = 0.895658
frac = 0.164305
frac = 0.278740
frac = 0.984296
frac = 0.917958
frac = 0.379279
frac = 0.029475
frac = 0.674359
frac = 0.437263
frac = 0.033884
frac = 0.562093
frac = 0.762775
frac = 0.876363
frac = 0.231786
frac = 0.358871
frac = 0.681142
frac = 0.389934
frac = 0.715940
frac = 0.858235
frac = 0.440413
frac = 0.870438
frac = 0.153382
frac = 0.237410
frac = 0.986852
frac = 0.883206
frac = 0.840246
frac = 0.191829
frac = 0.221381
frac = 0.901133
frac = 0.618973
frac = 0.035971
frac = 0.071267
frac = 0.729370
frac = 0.585741
frac = 0.810609
frac = 0.990267
frac = 0.502180
frac = 0.535793
frac = 0.592638
frac = 0.527419
frac = 0.128483
frac = 0.297022
frac = 0.839547
frac = 0.266751
frac = 0.394673
frac = 0.825851
frac = 0.285919
frac = 0.296361
frac = 0.285849
frac = 0.046764
frac = 0.225781
frac = 0.849480
frac = 0.220167
frac = 0.606864
frac = 0.611839
frac = 0.610201
frac = 0.515230
frac = 0.112976
